Day,Open,High,Low,Close,Adj Close,Volume
numeric,numeric,numeric,numeric,numeric,numeric,numeric
533,69.324997,69.5625,64.324997,64.7575,64.572662,78452000
534,65.852501,66.987503,65.150002,66.737503,66.547005,54244400
535,68,68.230003,65.105003,65.737503,65.54985,52556400
536,65.137497,67.550003,64.25,67.462502,67.269936,39840800
537,68.75,71.330002,68.472504,70.987503,70.784882,53094800
538,69.300003,71.042503,68.845001,70.209999,70.00959,36614800
539,71.769997,74.75,71.637497,73.675003,73.464691,74562000
540,74.5,74.714996,71.735001,73.080002,72.871399,53912000
541,71.809998,73.375,71.317497,71.762497,71.557655,44938800
542,70.577499,71.192497,66.777496,67.377502,67.185165,73516000
543,69.307503,71.967499,68.849998,71.537498,71.333305,48335600
544,71.959999,73.285004,70.75,71.002502,70.799835,42416000
545,70.900002,72.417503,70.150002,72.397499,72.190842,35232800
546,73.747498,75.875,73.5,74.269997,74.057983,47938800
547,75.75,76.050003,72.785004,72.839996,72.63208,44290400
548,74.192497,75.144997,73.4375,74.614998,74.402023,37916000
549,74.072502,74.614998,72.93,73.07,72.861443,37591600
550,71.087502,72.224998,70.209999,70.695,70.493202,34209600
551,70.220001,72.959999,70.220001,72.822502,72.614639,31755600
552,73.8675,75.067497,72.822502,73.434998,73.225395,36889600
553,74.232498,75.5,73.852501,74.447502,74.234993,32346400
554,75.845001,76.852501,75.330002,76.217499,75.999939,37373200
555,76.9375,78.1875,76.597504,78.125,77.902,33921600
556,78.074997,81.125,77.787498,80.654999,80.424782,46906000
557,81.235001,81.724998,77.927498,78.025002,77.802292,49306000
558,79.175003,80.785004,75.947502,77.800003,77.577934,62585200
559,78.417503,80.360001,76.875,80.305,80.075775,60231200
560,78.897499,85.004997,78.739998,84.907501,84.665146,98766000
561,87.605003,89.165001,86.805,87.502502,87.252716,77446000
562,87.902496,90.875,87.627502,88.055,87.803658,71732000
563,89.910004,90.43,88.887497,89.699997,89.443954,58753600
564,90.514999,90.525002,87.375,87.752502,87.502014,76106800
565,88.252502,90.93,87.1325,90.262497,90.004868,103876400
566,91.567497,91.817497,86.720001,87.177498,86.928665,77078000
567,86.25,86.327499,79.967499,85.252502,85.009148,117589200
568,84.122498,87.605003,83.792503,84.870003,84.627739,73489600
569,85.544998,88.754997,84.849998,88.754997,88.501663,74525600
570,88.332497,88.407501,86.894997,88.0625,87.811142,38987600
571,87.962502,88.372498,86.580002,88.252502,88.000603,39132000
572,88.222504,88.662498,87,87.695,87.444695,36544000
573,87.279999,89.432503,86.775002,87.665001,87.454674,42428000
574,87.945,89.970001,87.080002,89.199997,88.98597,48174800
575,88.772499,88.897499,86.857498,88.050003,87.83876,38773600
576,88,91.097504,87.512497,90.459999,90.242966,46848800
577,91.677498,95,91.535004,93.667503,93.442772,63218000
578,91.5,92.612503,87.860001,87.962502,87.751465,58365200
579,91.625,91.872498,87.032501,89.324997,89.110672,57090800
580,88.152496,91.822502,87.4375,91.737503,91.517387,40000400
581,92.25,92.667503,88.387497,90.684998,90.467415,53571600
582,91.137497,92.989998,90.702499,92.360001,92.138405,40830400
583,92.269997,92.824997,91.144997,92.18,91.958824,25440800
584,92.425003,94.449997,92.272499,92.612503,92.390289,52416000
585,93,95.3125,92.732498,95.267502,95.038933,39846800
586,95.510002,96.425003,94.074997,94.5,94.273262,37510800
587,94.762497,95.565002,91.445,92.355003,92.133408,44937200
588,93.557503,95.050003,91.822502,94.900002,94.67231,37607200
589,95,95,91.25,91.550003,91.330338,59208400
590,91.697502,92.044998,89,92,91.779259,34224800
591,93.139999,95.262497,92.665001,94.977501,94.749634,36789200
592,95.207497,95.7575,94.129997,95.300003,95.071342,32664800
593,96.389999,97.375,95.782501,96.122498,95.891869,36405600
594,97.417503,99.087502,97.125,98.392502,98.156425,31589200
595,99.462502,100.699997,98.5075,98.717499,98.480644,35780000
596,99.9375,102.25,99.654999,102.160004,101.914894,36548000
597,103.802498,105.699997,102.334999,105.089996,104.837852,49454800
598,105.887497,106.552498,103.787498,104.792503,104.541084,49767600
599,105.949997,107.922501,100.25,100.522499,100.281326,45707600
600,100.75,104.027496,97.855003,103.769997,103.521011,54267600
601,104.142502,104.330002,100.557503,102.272499,102.027115,40398400
602,100.150002,102.067497,98.955002,101.347504,101.104332,34496400
603,102.254997,102.485001,100.877502,102.014999,101.770241,26628400
604,102.7425,105.3125,101.567497,105.107498,104.855309,28485200
605,105.129997,105.599998,102.8675,103.285004,103.037186,27703600
606,103.675003,106.025002,102.915001,104.387497,104.137032,36729200
607,104.5,105.470001,100.3125,101.297501,101.054466,41166000
608,98.75,103.647499,97.769997,101.945,101.700409,47329200
609,102.322502,104.417503,102.177498,104.214996,103.964943,29213200
610,103.7425,103.82,102.092499,102.154999,101.909889,27163600
611,103.907501,105.162498,103.470001,104.654999,104.403893,28450800
612,103.75,106.230003,102.952499,106.139999,105.885345,30888000
613,105.6325,107.665001,104.330002,106.147499,105.892822,38608000
614,107.324997,110.987503,107.152496,110.102501,109.838326,41272000
615,110.5,112.277496,109.059998,112.277496,112.00811,31033600
616,112.440002,113.717499,111.662498,112.8675,112.596695,24992400
617,113.497498,113.580002,111.787498,113.355003,113.083023,24431600
618,113.125,115.047501,110.375,111.995003,111.726303,34251600
619,113.342499,114.082497,108.565002,111.650002,111.382118,42779600
620,110.737503,111.3675,107.957497,108.5,108.239662,35451200
621,109.907501,114.669998,109.582497,114.402496,114.128006,46441200
622,115.459999,117.217499,113.557503,114.43,114.155441,37446000
623,115.300003,117.047501,114.404999,115.639999,115.362534,36643600
624,118.512497,124.097504,118.172501,123.370003,123.073982,62130000
625,124.5,124.959999,120.862503,122.607498,122.313324,50344800
626,122.964996,123.150002,120.980003,121.385002,121.093765,62262400
627,119.75,123.75,118.787498,121.410004,121.118698,92138800
628,122.017502,128.087494,121.952499,126.834999,126.530678,99986800
629,128.837494,129.125,125.074997,127.202499,126.897293,49056400
630,126.307503,127.612503,125.737503,127.5,127.194092,28907600
631,127.9925,128.684998,126.777496,127.730003,127.423553,32124400
632,127.815002,128.5,125.665001,126.282501,125.979523,31760400
633,126.75,131.479996,126.425003,131.477493,131.162018,53716000
634,131.827499,135.75,130.377502,133.744995,133.424103,50084000
635,134.800003,139.9375,134.365005,138.210007,137.919647,51131600
636,147.037506,147.267502,139,143.464996,143.163589,87401200
637,138.287506,138.845001,128.787506,130.154999,129.881561,94512800
638,127.837502,131.75,117.047501,126.224998,125.959824,146368400
639,117.345001,125.5,117.042503,119.129997,118.879715,79572800
640,124,128.092499,122.317497,127.150002,126.882896,73620000
641,129.892502,130.652496,121.669998,123.1175,122.858856,69868400
642,124.855003,126.525002,118.957497,121.644997,121.389435,63692800
643,130.809998,133.149994,126.3125,128.722504,128.452057,120174400
644,132.800003,132.987503,128.277496,129.910004,129.637085,72755600
645,129.572495,130.927505,125.137497,125.144997,124.88208,55638400
646,121.322502,125.897499,120.347504,124.635002,124.373169,79251200
647,125.9375,126.324997,119.887497,121.892502,121.636429,69846000
648,119.25,125.224998,119.044998,125.172501,124.909531,72104400
649,125.75,126.480003,121.555,126.377502,126.112,64645200
650,125.754997,127.269997,120.792503,121.237503,120.982796,64701200
651,120.722504,125.695,120.139999,123.480003,123.220581,73124000
652,124.474998,128.835007,122.457497,128.737503,128.467041,58801600
653,130.402496,130.517502,127.5,130.350006,130.076157,57380800
654,129.375,134.427505,129.332504,132.257507,131.979645,62146000
655,131.574997,136.225006,131.502502,135.304993,135.020752,68918400
656,137.580002,137.627502,134.607498,136.145004,135.858994,52500400
657,132.25,135.195007,130.509995,130.622498,130.348068,55249600
658,132.360001,136.442505,132.227493,136.425003,136.138382,47982000
659,138.300003,141.419998,136.649994,137.365005,137.076431,78442000
660,139.997498,141.192505,138.634995,139.639999,139.346664,41808400
661,140.75,140.845001,137.580002,138.387497,138.096771,37890000
662,137.669998,138.242493,136.607498,137.627502,137.338364,34689200
663,139.895004,143.470001,139.125,142.259995,141.961105,43474400
664,142.964996,143.485001,140.1875,142.482498,142.183151,34460400
665,142.904999,143.427505,139.600006,140.952499,140.656387,27610000
666,138.107498,140.057495,137.677505,139.699997,139.406494,26722400
667,140.367493,141.214996,137.925003,138.115005,137.824875,24239200
668,139.029999,139.835007,134.067505,134.977493,134.693939,29806800
669,135.835007,137.997498,135.070007,136.455002,136.168335,22921200
670,136.25,137.914993,134.774994,135.247498,134.963379,21959600
671,135.225006,136.117493,132.317505,133.610001,133.32933,29048000
672,134.5,135.932495,132.912506,135.902496,135.616974,23348400
673,134.270004,136.927505,130.384995,131.412506,131.136414,33689600
674,133.059998,134.419998,131.914993,133.967499,133.686081,25052000
675,131.979996,132.600006,126.089996,126.269997,126.004715,37652000
676,128.384995,131.927505,127.5,130.240005,129.9664,32008000
677,128.5,129.365005,123,125.339996,125.076675,41682000
678,126.577499,128.367493,123.949997,125.807503,125.543198,29965200
679,127.084999,131.050003,126.027496,130.195007,129.921494,27290000
680,133.892502,138.274994,133.369995,137.942505,137.65271,41022800
681,141.625,143.389999,139.910004,141.600006,141.302505,31902800
682,141.097504,145.887497,138.949997,145.619995,145.314072,38334800
683,145.524994,146.914993,136.107498,136.307495,136.021133,58297600
684,136.065002,136.065002,126.282501,127.699997,127.431725,64406800
685,130.537506,134.350006,129.482498,134.179993,133.898117,40474400
686,134.789993,137.660004,133.160004,134.567505,134.28479,36581200
687,136.272507,136.6875,130.592499,132.970001,132.690643,34631200
688,131.725006,136.494995,131.559998,135.152496,134.868591,41377600
689,135.524994,135.962494,133.037506,134.222504,133.940521,31202800
690,134.652496,136.057495,131.850006,134.287506,134.005402,51092400
